realDonaldTrump_tweet,realDonaldTrump_date,JustinTrudeau_tweet,JustinTrudeau_date
"When we rip down and totally replace a badly broken and dilapidated Barrier on the Southern Border, something which cannot do the job, the Fake News Media gives us zero credit for building a new Wall. We have replaced many miles of old Barrier with powerful new Walls!",2019-07-22,"Moms & dads want their kids to have a better future. Yesterday in Toronto, @marcomendicino &amp; I sat down with families to hear their concerns and talk about what our government is doing to help families across the country.",2019-04-13
....This was a real compromise in order to give another big victory to our Great Military and Vets!,2019-07-22,"Les parents veulent que leurs enfants aient un avenir meilleur. Hier à Toronto, @marcomendicino et moi avons rencontré des familles pour écouter leurs préoccupations et parler de ce que notre gouvernement fait pour aider les familles partout au pays.",2019-04-13
"I am pleased to announce that a deal has been struck with Senate Majority Leader Mitch McConnell, Senate Minority Leader Chuck Schumer, Speaker of the House Nancy Pelosi, and House Minority Leader Kevin McCarthy - on a two-year Budget and Debt Ceiling, with no poison pills....",2019-07-22,"My thanks to President @EmmanuelMacron for the call today. We had a good conversation on how Canada &amp; France can work together to fight hatred &amp; extremism, and also talked about the jobs &amp; opportunities that CETA is creating in both our countries:",2019-04-12
"The “Squad” is a very Racist group of troublemakers who are young, inexperienced, and not very smart. They are pulling the once great Democrat Party far left, and were against humanitarian aid at the Border...And are now against ICE and Homeland Security. So bad for our Country!",2019-07-22,"Merci au président @EmmanuelMacron pour l’entretien d'aujourd'hui sur la façon dont le Canada et la France peuvent combattre ensemble la haine et l'extrémisme, ainsi que sur les emplois et opportunités que l'AECG permettra de créer dans nos deux pays:",2019-04-12
Going with First Lady to pay our respects to Justice Stevens. Leaving now!,2019-07-22,"Earlier today, I spoke with Prime Minister @netanyahu to congratulate him on his 5th electoral success. We also talked about security issues in the Middle East and how an updated trade agreement will create jobs &amp; economic growth in Canada &amp; Israel:",2019-04-12
"The Report of Iran capturing CIA spies is totally false. Zero truth. Just more lies and propaganda (like their shot down drone) put out by a Religious Regime that is Badly Failing and has no idea what to do. Their Economy is dead, and will get much worse. Iran is a total mess!",2019-07-22,"Aujourd’hui, j’ai félicité le PM @netanyahu de son 5e succès électoral et discuté avec lui de la sécurité au Moyen-Orient et de la façon dont un accord commercial modernisé créera des emplois et de la croissance économique dans nos deux pays :",2019-04-12
"....But the questions should be asked, why were all of Clinton’s people given immunity, and why were the text messages of Peter S and his lover, Lisa Page, deleted and destroyed right after they left Mueller, and after we requested them(this is Illegal)?",2019-07-22,We’ve extended the deadline! You now have until April 18 to enter the Video Challenge for a chance to join us at #YouthSummit2019. Tell us why you’re #InspiredToServe your community in a video &amp; submit it here: http://bit.ly/2UiVml5,2019-04-12
"Highly conflicted Robert Mueller should not be given another bite at the apple. In the end it will be bad for him and the phony Democrats in Congress who have done nothing but waste time on this ridiculous Witch Hunt. Result of the Mueller Report, NO COLLUSION, NO OBSTRUCTION!...",2019-07-22,"Délai prolongé! Vous avez maintenant jusqu’au 18 avril pour participer au Défi vidéo et avoir la chance de vous joindre à nous au #SommetJeunesse2019. Dans une vidéo, dites-nous pourquoi vous êtes #InspiréÀServir votre communauté. Envoyez la vidéo à: http://bit.ly/2TTbeq2",2019-04-12
Fake News Equals the Enemy of the People!,2019-07-22,"We’ve made a lot of progress towards gender equality, but there is still much more work to do. The people at @Women_Canada work hard every day to #MakeGenderInequalityHistory. Thank you for everything you do.",2019-04-11
"The Mainstream Media is out of control. They constantly lie and cheat in order to get their Radical Left Democrat views out their for all to see. It has never been this bad. They have gone bonkers, & no longer care what is right or wrong. This large scale false reporting is sick!",2019-07-22,"Nous avons fait beaucoup de progrès vers l'égalité des sexes, mais il reste encore beaucoup à faire. Les gens dévoués de @Femmes_Canada travaillent fort tous les jours pour #ÉliminerLesInégalités. Merci pour tout ce que vous faites.",2019-04-11
"....except for those stated by me, & “reams of paper” were never given to me. It is a made up story meant to demean & belittle. The Post had no sources. The facts remain the same, that we have 4 Radical Left Congresswomen who have said very bad things about Israel & our Country!",2019-07-22,"Big ideas lead to big discoveries. That’s why Canada is investing in science, including more money to get women and girls involved in STEM. Congratulations to Katie Bouman and the entire @ehtelescope team. #blackhole",2019-04-11
"The Amazon Washington Post front page story yesterday was total Fake News. They said “Advisors wrote new talking points and handed him reams of opposition research on the four Congresswomen.” Now really, does that sound like me? What advisors, there were no talking points,....",2019-07-22,Les grandes idées mènent aux grandes découvertes. C’est pourquoi le Canada investit dans les sciences et accorde notamment plus d’argent pour attirer les femmes dans les STIM. Félicitations à Katie Bouman et à toute l’équipe @ehtelescope. #TrouNoir,2019-04-11
"It is far more costly for the Federal Reserve to cut deeper if the economy actually does, in the future, turn down! Very inexpensive, in fact productive, to move now. The Fed raised & tightened far too much & too fast. In other words, they missed it (Big!). Don’t miss it again!",2019-07-22,It’s always a proud moment when a Canadian is at the forefront of space exploration. Congratulations to @UWaterloo’s Avery Broderick on being a part of the groundbreaking @ehtelescope team. ,2019-04-11
"....as we have done, it could have been soooo much better. Interest rate costs should have been much lower, & GDP & our Country’s wealth accumulation much higher. Such a waste of time & money. Also, very unfair that other countries manipulate their currencies and pump money in!",2019-07-22,C’est toujours un moment de fierté quand un Canadien est à l’avant-garde de l’exploration spatiale. Félicitations à Avery Broderick de l’@UWaterloo de faire partie des pionniers de l’équipe @ehtelescope. ,2019-04-11
"With almost no inflation, our Country is needlessly being forced to pay a MUCH higher interest rate than other countries only because of a very misguided Federal Reserve. In addition, Quantitative Tightening is continuing, making it harder for our Country to compete. As good.....",2019-07-22,"There’s still time to help millions of people affected by Cyclone Idai in Malawi, Mozambique, and Zimbabwe. Give to @HumCoalition by April 14 and the government will match your donation: http://humanitariancoalition.ca",2019-04-11
,2019-07-22,"Il est encore temps d’aider des millions de personnes touchées par le cyclone Idai au Malawi, au Mozambique et au Zimbabwe. Donnez à la @HumCoalition d’ici le 14 avril, et le gouvernement donnera un montant équivalant à votre don : http://coalitionhumanitaire.ca",2019-04-11
"Thank you very much for revealing the incredible facts, which the Fake News Media will never do! @SteveHiltonx @NextRevFNC",2019-07-22,"#YourBudget2019 will help young Canadians get &amp; keep good jobs with: Paid work placements to get the experience you need Lower student loan interest rates No interest on loans for 6 months after grad Saving students $2,000 each, on average More: https://bit.ly/2VEKwD4",2019-04-11
,2019-07-22,#VotreBudget2019 aide les jeunes Canadiens à obtenir &amp; garder de bons emplois: Stages rémunérés Taux d’intérêt plus bas sur les prêts d'études Aucun intérêt sur les prêts pendant 6 mois après le diplôme Économies moyennes de 2 000 $/étudiant Plus https://bit.ly/2GapF4l,2019-04-11
"....Based on the comments made by Senator Schumer, he must have seen how dangerous & bad for our Country the Border is. It is not a “manufactured crisis,” as the Fake News Media & their Democrat partners tried to portray. He said he wants to meet. I will set up a meeting ASAP!",2019-07-22,"Thanks to Alan Kestenbaum of @StelcoCanada for the meeting in Ottawa today. The steel industry is important to the Canadian economy, and we’re going to keep supporting steel workers and their families in Hamilton, and all across the country.",2019-04-11
"Senator Chuck Schumer has finally gone to the Southern Border with some Democrat Senators. This is a GREAT thing! Nearby, he missed a large group of Illegal Immigrants trying to enter the USA illegally. They wildly rushed Border Patrol. Some Agents were badly injured....",2019-07-22,"Merci à Alan Kestenbaum de @StelcoCanada pour la rencontre à Ottawa, ce matin. L’industrie de l’acier est importante pour l’économie canadienne, et nous allons continuer de soutenir ses travailleurs et leurs familles à Hamilton, et partout au pays.",2019-04-11
"....Most importantly you have led Israel with a commitment to the values of democracy, freedom, and equal opportunity that both our nations cherish and share!",2019-07-21,"The Canada Child Benefit gives you more money every month, to spend where you need it. So you can focus on what matters most: raising your kids.",2019-04-11
"Congratulations to Bibi @Netanyahu on becoming the longest serving PM in the history of Israel. Under your leadership, Israel has become a technology powerhouse and a world class economy....",2019-07-21,L’Allocation canadienne pour enfants vous donne chaque mois plus d'argent que vous pouvez dépenser selon vos besoins. Vous pouvez donc vous concentrer sur ce qui compte le plus : élever vos enfants.,2019-04-11
"I don’t believe the four Congresswomen are capable of loving our Country. They should apologize to America (and Israel) for the horrible (hateful) things they have said. They are destroying the Democrat Party, but are weak & insecure people who can never destroy our great Nation!",2019-07-21,"White supremacy has no place in Canada. It’s time for all parties, including Andrew Scheer’s Conservative Party, to stand together in denouncing hatred in all its forms.",2019-04-10
MAKE AMERICA GREAT AGAIN!,2019-07-21,"La suprématie blanche n’a pas sa place au Canada. Il est temps que tous les partis, y compris le parti conservateur d’Andrew Scheer, soient solidaires pour dénoncer la haine sous toutes ses formes.",2019-04-10
Presidential Harassment!,2019-07-21,"Together, we're moving forward on reconciliation. #YourBudget2019 will: Support Indigenous languages Promote Indigenous entrepreneurs Invest in clean water, health services &amp; education Reimburse loans so communities can invest in people More: https://bit.ly/2UKxUgM",2019-04-10
"The Washington Post Story, about my speech in North Carolina and tweet, with its phony sources who do not exist, is Fake News. The only thing people were talking about is the record setting crowd and the tremendous enthusiasm, far greater than the Democrats. You’ll see in 2020!",2019-07-21,"Ensemble, nous avançons vers la réconciliation. #VotreBudget2019 va : soutenir les langues autochtones promouvoir les entrepreneurs autochtones investir dans l'eau saine, la santé et l'éducation Rembourser les prêts pour le bien des gens Info : https://bit.ly/2Z1gATM",2019-04-10
"Big progress at the Border, but Dems in Congress must change the Immigration Laws for all to be good! End the Loopholes and much more.",2019-07-21,"On May 2-3, we’re gathering hundreds of young Canadians who’ve served their communities for the first-ever Canada #YouthSummit2019. Want a chance to join? Tell us why you’re #InspiredToServe your community in a video, &amp; submit it here by April 14: https://bit.ly/2UiVml5",2019-04-10
"The Great State of West Virginia is producing record setting numbers and doing really well. When I became President, it was practically shut down and closed for business. Not anymore!",2019-07-21,"Les 2 et 3 mai, des centaines de jeunes Canadiens prendront part au premier #SommetJeunesse2019 du Canada. Pour avoir la chance d’y participer, envoyez-nous une vidéo d’ici le 14 avril pour nous dire pourquoi vous êtes #InspiréÀServir votre communauté: https://bit.ly/2TTbeq2",2019-04-10
"I will help Angel Mom (and great woman) Mary Ann Mendoza with Twitter. I know Mary Ann from the beginning, and she should never be silenced. She is a winner who has lost so much, her child. Twitter, if you’re watching, please do what you have to do, NOW! @foxandfriends",2019-07-21,"Wishing @BillBlair a very happy birthday! Thanks for all the hard work you do for Canadians, Bill.",2019-04-09
"Economic numbers reach an all time high, the best in our Country’s history. Great to be a part of something so good for so many!",2019-07-20,"Je souhaite un joyeux anniversaire à @BillBlair! Merci pour tout le travail que tu fais pour les Canadiens, Bill.",2019-04-09
,2019-07-20,"Equal pay for equal work makes sense, and closing the gender gap could add $150 billion to our economy in the next 10 years. We’ve introduced a plan for federal proactive pay equity – to build a stronger economy & a better future for everyone. #EqualPayDay",2019-04-09
"....Our teams will be talking further, and we agreed to speak again in the next 48 hours!",2019-07-20,"Un salaire égal pour un travail égal est logique, et éliminer l’écart pourrait ajouter 150 milliards de dollars à notre économie en 10 ans. On propose un plan proactif sur l’équité salariale pour aider l’économie et bâtir un avenir meilleur pour tous.",2019-04-09
"Just had a very good call with @SwedishPM Stefan Löfven who assured me that American citizen A$AP Rocky will be treated fairly. Likewise, I assured him that A$AP was not a flight risk and offered to personally vouch for his bail, or an alternative....",2019-07-20,"Hatred will not be tolerated in Canada, and we all have a role to play in making sure our communities are safe, including online. Facebook’s decision to ban accounts that spread hate & white nationalism is a step in the right direction.",2019-04-09
You can add 10% or 15% to this number. Economy doing better than EVER before!,2019-07-20,"La haine ne sera pas tolérée au Canada et nous avons tous un rôle à jouer pour assurer la sécurité de nos communautés, y compris en ligne. La décision de Facebook de supprimer les comptes qui propagent la haine et le nationalisme blanc est un pas dans la bonne direction.",2019-04-09
Thank you Bill. Very nice!,2019-07-20,"The Battle of Vimy Ridge was a milestone in our country’s history, when Canadians acted as one through great sacrifice & loss. Today we remember the thousands of Canadians who gave their lives, and pay tribute to all Canadians in uniform, past & present.",2019-04-09
Just spoke to @KanyeWest about his friend A$AP Rocky’s incarceration. I will be calling the very talented Prime Minister of Sweden to see what we can do about helping A$AP Rocky. So many people would like to see this quickly resolved!,2019-07-19,"La bataille de Vimy a été un tournant de notre histoire, des Canadiens s’étant battus côte à côte jusqu’au sacrifice ultime. Aujourd’hui, nous pensons aux milliers de Canadiens tombés au combat et honorons ceux qui ont porté ou portent encore l’uniforme.",2019-04-09
Thank you! #MAGA2020,2019-07-19,"Climate change is real, and it has a cost. We have a plan to fight it, and make life more affordable for Canadians.",2019-04-08
....Fed: There is almost no inflation!,2019-07-19,"Les changements climatiques existent vraiment, et ils ont un prix. Nous avons un plan pour les contrer et améliorer le coût de la vie des Canadiens.",2019-04-08
"....but it is no thanks to the Federal Reserve. Had they not acted so fast and “so much,” we would be doing even better than we are doing right now. This is our chance to build unparalleled wealth and success for the U.S., GROWTH, which would greatly reduce % debt. Don’t blow it!",2019-07-19,"Congratulations on your Texas Open win, @coreconn. We’ll be rooting for you at #TheMasters this week! ",2019-04-08
"I like New York Fed President John Williams first statement much better than his second. His first statement is 100% correct in that the Fed “raised” far too fast & too early. Also must stop with the crazy quantitative tightening. We are in a World competition, & winning big,...",2019-07-19,"Félicitations pour avoir remporté l’Omnium du Texas, @coreconn. Nous serons derrière vous au #TournoiDesMaîtres cette semaine! ",2019-04-08
"Because of the faulty thought process we have going for us at the Federal Reserve, we pay much higher interest rates than countries that are no match for us economically. In other words, our interest costs are much higher than other countries, when they should be lower. Correct!",2019-07-19,"Putting a price on pollution works. It’s good for the environment, good for the economy, and gives more money right back to families. Get the facts:",2019-04-08
"....Governor of the State did a good job. That may be true but she could not have done it without the tremendous economic success of our Country & the turnaround that my Administration has caused. Really Nasty to me in his average I.Q. Columns, kissed my a.. on the call. Phony!",2019-07-19,"Mettre un prix sur la pollution fonctionne. C’est bon pour l’environnement et pour l’économie, et cela permet de redonner plus d’argent directement aux familles. Renseignez-vous :",2019-04-08
"....he could not have been nicer or more respectful to your favorite President, me. Then I saw the column he wrote, “Trump Will Be Re-elected, Won’t He?” He called me a Racist, which I am not, and said Rhode Island went from economically bad to great in 5 years because the.....",2019-07-19,"Congratulations to @Astro_DavidS on this incredible feat, &amp; to all the Canadian trailblazers like @kfacciol &amp; @nmpanek who #DareToExplore, dream big, and take Canadian ambition to new heights!",2019-04-08
"Thomas “the Chin” Friedman, a weak and pathetic sort of guy, writes columns for The New York Times in between rounds of his favorite game, golf. Two weeks ago, while speaking to a friend on his cell phone, I unfortunately ended up speaking to Friedman. We spoke for a while and...",2019-07-19,"Félicitations à @Astro_DavidS pour cet exploit incroyable, et à tous les pionniers canadiens comme @kfacciol et @nmpanek qui voient grand et portent l'ambition canadienne vers de nouveaux sommets! #OserExplorer",2019-04-08
"....State which I will win in #2020 because they can’t stand her and her hatred of our Country, and they appreciate all that I have done for them (opening up mining and MUCH more) which has led to the best employment & economic year in Minnesota’s long and beautiful history!",2019-07-19,Watch live as @Astro_DavidS takes his first spacewalk on the International Space Station! It’s been 12 years since a Canadian walked in space. ,2019-04-08
"....Mainstream Media, which has lost all credibility, has either officially or unofficially become a part of the Radical Left Democrat Party. It is a sick partnership, so pathetic to watch! They even covered a tiny staged crowd as they greeted Foul Mouthed Omar in Minnesota, a...",2019-07-19,Regardez en direct la première sortie dans l’espace d’@Astro_DavidS de la Station spatiale internationale! Il s’est passé 12 ans depuis la dernière fois où un Canadien était sorti dans l’espace. ,2019-04-08
"It is amazing how the Fake News Media became “crazed” over the chant “send her back” by a packed Arena (a record) crowd in the Great State of North Carolina, but is totally calm & accepting of the most vile and disgusting statements made by the three Radical Left Congresswomen...",2019-07-19,"Last week, I met with the parents of Humboldt Bronco Logan Boulet – one year ago, his organ donation saved six people’s lives. Today on #GreenShirtDay, honour Logan &amp; his legacy by spreading the word about organ donation – it could save someone’s life. http://greenshirtday.ca",2019-04-07
"Great new book, “Justice On Trial, The Kavanaugh Confirmation and the Future of the Supreme Court.” Fantastic job by Mollie Hemingway and Carrie Severino!",2019-07-19,"La semaine passée, j'ai rencontré les parents de Logan Boulet des Broncos de Humboldt – il y a un an, son don d'organes a permis de sauver six vies. En cette #Journeetshirtvert, rendez-lui hommage en parlant du don d'organes... ça pourrait sauver une vie. http://greenshirtday.ca",2019-04-07
,2019-07-19,"Every day, Canadians across the country step up to volunteer their time & skills to make a difference in people’s lives. This week, we’re celebrating the hardworking volunteers who make our communities even stronger. #NVW2019",2019-04-07
....working with labor and everyone else. He will be a great member of an Administration that has done more in the first 2 ½ years than perhaps any Administration in history!,2019-07-19,"Chaque jour, des Canadiens partout au pays donnent de leur temps et de leur talent pour changer la vie des autres. Cette semaine, nous célébrons les bénévoles qui travaillent fort pour que nos communautés soient encore plus fortes. #SAB2019",2019-04-07
"I am pleased to announce that it is my intention to nominate Gene Scalia as the new Secretary of Labor. Gene has led a life of great success in the legal and labor field and is highly respected not only as a lawyer, but as a lawyer with great experience....",2019-07-19,"On #WorldHealthDay, we recognize that everyone has the right to the health care they need. Here at home, Canadians are proud of our universal health care system &amp; we’re always working to improve it to build healthier &amp; stronger communities. @WHO",2019-04-07
"Today, @FLOTUS Melania and I were honored to welcome members of Team USA to the @WhiteHouse for a great celebration of their success during the 2019 @SpecialOlympics @WorldGamesAD! Congratulations @specialolyUSA! #Cheer4USA",2019-07-18,"En cette #Journéemondialedelasanté, rappelons que tout le monde a droit d’avoir les soins de santé nécessaires. Au Canada, on est fier de notre système de santé universel et on l’améliore toujours pour que nos communautés soient en meilleure santé. @WHO",2019-04-07
"This should have been taken care of years ago, the Trump Administration is taking care of these thugs now!",2019-07-18,"Today, we remember the genocide against the Tutsi in Rwanda & those who were senselessly murdered 25 years ago. We honour them by always standing up for human rights around the world & working to ensure atrocities like this never happen again.",2019-04-07
"Today, on behalf of the American people, I received an American flag that flew aboard a ship carrying the first waves of U.S. Service Members to land in Normandy...",2019-07-18,"Aujourd’hui, nous nous rappelons le génocide contre les Tutsis au Rwanda et ceux qui ont été tués sans raison il y a 25 ans. Nous les honorons en défendant les droits de la personne dans le monde et en veillant à ce que ces atrocités ne se produisent plus.",2019-04-07
"I want to apprise everyone of an incident in the Strait of Hormuz today, involving #USSBoxer, a U.S. Navy amphibious assault ship. The BOXER took defensive action against an Iranian drone....",2019-07-18,"Toronto dreams big! The @Raptors are empowering local kids through basketball, so they can succeed &amp; dream even bigger. Thanks for having Xav and me at the OVO Athletic Centre today. #WeTheNorth #RTZ ",2019-04-07
"....of gang members, in particular MS-13. ICE and Border Patrol are doing a great job!",2019-07-18,"Toronto rêve grand! Les @Raptors valorisent les enfants de leur communauté avec le basketball, pour qu'ils puissent réussir et avoir des rêves encore plus grands! Merci de nous avoir accueillis, Xav et moi, au OVO Athletic Centre aujourd'hui. #WeTheNorth #RTZ ",2019-04-07
"Most of the MS-13 Gang members indicted & arrested in L.A. were illegal aliens, 19 of 22. They are said to have killed many people in the most brutal fashion. They should never have been allowed in our Country for so long, 10 years. We have arrested and deported thousands....",2019-07-18,"Oh baby! What a career. For half a century, Bob Cole was the voice of hockey in Canada and made the game even more special for so many of us. Thanks for the memories, Bob.",2019-04-06
"....of which was squandered away or wasted, never to be seen again. This is more than twice the amount given to Texas & Florida combined. I know the people of Puerto Rico well, and they are great. But much of their leadership is corrupt, & robbing the U.S. Government blind!",2019-07-18,"Oh baby! Quelle carrière! Pendant un demi-siècle, Bob Cole a été la voix du hockey au Canada et a rendu le match encore plus spécial pour beaucoup d’entre nous. Merci pour tous ces souvenirs, Bob.",2019-04-06
"A lot of bad things are happening in Puerto Rico. The Governor is under siege, the Mayor of San Juan is a despicable and incompetent person who I wouldn’t trust under any circumstance, and the United States Congress foolishly gave 92 Billion Dollars for hurricane relief, much....",2019-07-18,"Together, we are #HumboldtStrong. Watch this powerful tribute to the 16 lives lost one year ago today:",2019-04-06
"Just returned to the White House from the Great State of North Carolina. What a crowd, and what great people. The enthusiasm blows away our rivals on the Radical Left. #2020 will be a big year for the Republican Party!",2019-07-18,"Ensemble, nous sommes unis pour #Humboldt. Regardez l'hommage poignant rendu aux 16 vies que nous avons perdues il y a un an : https://www.cbc.ca/news/canada/saskatoon/remembering-humboldt-broncos-bus-crash-victims-1.5085126",2019-04-06
"The Republican Party is the Party for ALL Americans. We are the Party of the American Worker, the American Family & the American Dream. This is the proud banner the Republican Party will carry into the Republican National Convention next summer in the great city of Charlotte, NC!",2019-07-18,"Big news for families in Toronto: yesterday we announced the largest investment in municipal housing in Canadian history. That means more families will have access to good homes, so they can give their kids the best start in life.",2019-04-06
"Together, we will continue unleashing the power of American enterprise, so every American can know the dignity of work and the pride of a paycheck. With your help, we will elect a Republican Congress to create a safe, modern, fair, and LAWFUL system of immigration! #MAGA2020",2019-07-18,Bonne nouvelle pour les Torontois: nous avons annoncé le plus important investissement dans le logement municipal de l’histoire du Canada. Plus de familles auront donc accès à de bons logements pour donner à leurs enfants le meilleur départ possible.,2019-04-06
"THANK YOU Greenville, North Carolina! #MAGA2020",2019-07-18,"My thanks to Tom Reid of @IBEWCanada for the call yesterday. Our government has electrical workers’ backs, and we’re committed to helping you succeed, create good jobs, and build a better future for Canada. @IBEW",2019-04-06
"....Greatest Economic BOOM in the history of our Country, the best job numbers, biggest tax reduction, rebuilt military and much more, is now OVER. This should never be allowed to happen to another President of the United States again!",2019-07-17,"Canadian workers have built our country, and they’re building our future. I had a good call with Lionel Railton of IUOE Canada yesterday, on how we’ll keep working together to create more jobs & strengthen our communities through important infrastructure projects.",2019-04-06
"The United States House of Representatives has just overwhelmingly voted to kill the Resolution on Impeachment, 332-95-1. This is perhaps the most ridiculous and time consuming project I have ever had to work on. Impeachment of your President, who has led the....",2019-07-17,"Merci à Tom Reid de la @IBEWCanada pour l’appel d’hier. Notre gouvernement est derrière les ouvriers en électricité, et nous voulons vous aider à réussir, créer de bons emplois et bâtir un meilleur avenir pour le Canada. @IBEW",2019-04-06
"See you tonight, North Carolina! #MAGA2020",2019-07-17,"Les travailleurs canadiens ont bâti notre pays, et ils bâtissent notre avenir. Hier, j’ai eu une bonne discussion au téléphone avec Lionel Railton d’IUOE Canada sur notre collaboration pour créer plus d’emplois et renforcer nos communautés grâce à des projets d’infrastructure.",2019-04-06
GOD BLESS THE USA ,2019-07-17,"One year ago, Canada grieved as the Humboldt community faced incredible tragedy. Today, we remember the Humboldt Broncos we lost, and mourn with their families and teammates. Canadians are with you, and we will always be cheering you on.",2019-04-06
"New Poll: The Rasmussen Poll, one of the most accurate in predicting the 2016 Election, has just announced that “Trump” numbers have recently gone up by four points, to 50%. Thank you to the vicious young Socialist Congresswomen. America will never buy your act! #MAGA2020",2019-07-17,"Il y a un an, le Canada était en deuil avec la communauté de Humboldt après une incroyable tragédie. Aujourd'hui, on se souvient des Broncos qui nous ont quittés et on pleure leur perte avec leurs proches. Les Canadiens seront toujours derrière vous.",2019-04-06
"After a ten year search, the so-called “mastermind” of the Mumbai Terror attacks has been arrested in Pakistan. Great pressure has been exerted over the last two years to find him!",2019-07-17,"Canadians are appalled by Brunei’s new penal code that will target women, the LGBTQ2 community & other minority groups, and we condemn their decision. Canada will always defend human rights around the world, and we’re urging Brunei to repeal this cruel & inhumane law.",2019-04-06
"Big Rally tonight in Greenville, North Carolina. Lots of great things to tell you about, including the fact that our Economy is the best it has ever been. Best Employment & Stock Market Numbers EVER. I’ll talk also about people who love, and hate, our Country (mostly love)! 7:PM",2019-07-17,"Nous sommes consternés par le nouveau code pénal de Brunéi ciblant les femmes, les LGBTQ2 et d’autres minorités et condamnons sa décision. Le Canada défendra toujours les droits de la personne partout dans le monde et il exhorte Brunéi à abroger cette loi cruelle et inhumaine.",2019-04-06
"The Democrats in Congress are getting nothing done, not on drug pricing, not on immigration, not on infrastructure, not on nothing! Sooo much opportunity, yet all they want to do is go “fishing.” The American people are tired of the never ending Witch Hunt, they want results now!",2019-07-17,"Investing in affordable housing is about giving everyone a real & fair chance at success. Today we announced a historic investment in @TOHousing, so almost 60,000 families here can have safe, comfortable, and affordable places to call home: https://bit.ly/2s7HnhC",2019-04-05
....they are destroying the Democrat Party. I’m appalled that so many of our Presidential candidates are falling all over themselves to try to agree with the four horsewomen of the apocalypse. I’m entitled to say that they’re Wack Jobs.” Louisiana Senator John Kennedy,2019-07-17,"Investir dans le logement abordable, c'est donner à tous une chance réelle et égale de réussir. Grâce à l’investissement historique que nous avons annoncé à la @TOHousing aujourd’hui, près de 60 000 familles d'ici auront un chez soi sûr et abordable: https://bit.ly/2Kk6ASC",2019-04-05
"...opinion, they’re Americans. Now I’m entitled to my opinion, & I just think they’re left wing cranks. They’re the reason there are directions on a shampoo bottle, & we should ignore them. The “squad” has moved the Democrat Party substantially LEFT, and.....",2019-07-17,"Yesterday I spoke with @JunckerEU. Thanks for the call, Jean-Claude, and for the conversation on trade, and the importance of CETA in creating middle class jobs &amp; opportunities on both sides of the Atlantic.",2019-04-05
"“In America, if you hate our Country, you are free to leave. The simple fact of the matter is, the four Congresswomen think that America is wicked in its origins, they think that America is even more wicked now, that we are all racist and evil. They’re entitled to their.....",2019-07-17,"Good phone call this morning with @eucopresident Tusk on our shared commitment to respecting the rule of law and promoting human rights. Thanks for your support, Donald. https://pm.gc.ca/eng/news/2019/04/05/prime-minister-justin-trudeau-speaks-president-european-council-donald-tusk",2019-04-05
"....visible members of the House Democrats, who are now wedded to this bitterness and hate. The Republican vote was 187-4. Wow! Also, this was the first time since 1984 that the Speaker of the House was ruled Out of Order and broke the Rules of the House. Quite a day!",2019-07-17,"Hier, je me suis entretenu avec @JunckerEU. Merci pour l'appel, Jean-Claude, et pour la conversation sur le commerce et le rôle important que joue l'AECG dans la création d'emplois et d'opportunités pour la classe moyenne des deux côtés de l'Atlantique.",2019-04-05
"So great to see how unified the Republican Party was on today’s vote concerning statements I made about four Democrat Congresswomen. If you really want to see statements, look at the horrible things they said about our Country, Israel, and much more. They are now the top, most...",2019-07-17,"Bon entretien téléphonique ce matin avec l’@eucopresident Tusk sur notre engagement commun à respecter la primauté du droit et à promouvoir les droits de la personne. Merci de votre soutien, Donald. https://pm.gc.ca/fra/nouvelles/2019/04/05/premier-ministre-justin-trudeau-sentretient-president-du-conseil-europeen",2019-04-05
"Yesterday, it was my great honor to host our third annual Made in America Showcase at the @WhiteHouse....",2019-07-16,"Entrepreneurs & workers in Saguenay-Lac-Saint-Jean are world renowned for their innovation & bright ideas. Last night, we talked about #YourBudget2019 at @CCSaguenay's Gala du mérite économique. You can always count on our government to help you succeed &amp; create more jobs.",2019-04-05
"Looking forward to tomorrow night’s rally in Greenville, North Carolina at 7:00 P.M. Eastern! https://www.donaldjtrump.com/rallies/july-gville-nc-2019",2019-07-16,"Les entreprises et travailleurs du Saguenay-Lac-Saint-Jean sont réputés pour leur innovation et leurs bonnes idées. Hier, on a parlé de #VotreBudget2019 au Gala du mérite économique du @CCSaguenay. Notre gouvernement est là pour vous aider à réussir et à créer plus d’emplois.",2019-04-05
"Kevin McCarthy @GOPLeader, “The President’s Tweets were not Racist. The controversy over the tweets is ALL POLITICS. I will vote against this resolution.” Thank you Kevin!",2019-07-16,Last week I spoke with leading scientists about Canada’s Changing Climate Report. Canada is warming at 2x the global average. We need to act now so our kids can have a healthy planet & good jobs. A price on pollution is a key part of that. Read the report: https://bit.ly/2FJgreZ,2019-04-05
".....Congresswomen, who I truly believe, based on their actions, hate our Country. Get a list of the HORRIBLE things they have said. Omar is polling at 8%, Cortez at 21%. Nancy Pelosi tried to push them away, but now they are forever wedded to the Democrat Party. See you in 2020!",2019-07-16,"La semaine passée j’ai parlé avec des scientifiques du Rapport sur le climat changeant du Canada. Le Canada se réchauffe 2x plus vite que la moyenne mondiale. On doit agir pour nos enfants, et c’est en tarifiant la pollution qu’on va y arriver. Le rapport: https://bit.ly/2COwYxG",2019-04-05
